NOR,Norway,6,5,4,3,2,,,
OMN,Oman,20,19,18,19,19,,,
PAK,Pakistan,286,237,191,154,140,,,
PAN,Panama,91,88,79,58,52,,,
PNG,Papua New Guinea,249,200,168,151,145,,,
PRY,Paraguay,194,174,148,132,129,,,
PER,Peru,144,118,104,94,88,,,
PHL,Philippines,160,156,144,127,121,,,
POL,Poland,7,4,3,2,2,,,
PRT,Portugal,10,9,9,9,8,,,
PRI,Puerto Rico,26,23,21,20,21,,,
QAT,Qatar,14,12,10,9,9,,,
KOR,Republic of Korea,17,15,15,12,11,,,
MDA,Republic of Moldova,44,34,29,22,19,,,
ROU,Romania,54,35,27,21,19,,,
RUS,Russian Federation,56,42,25,18,17,,,
RWA,Rwanda,1160,643,373,275,248,,,
LCA,Saint Lucia,86,83,109,115,117,,,
VCT,Saint Vincent and the Grenadines,80,59,63,64,68,,,
WSM,Samoa,88,72,58,45,43,,,
STP,Sao Tome and Principe,179,163,140,130,130,,,
SAU,Saudi Arabia,24,22,19,17,17,,,
SEN,Senegal,553,519,447,346,315,,,
SRB,Serbia,13,12,12,13,12,,,
SYC,Seychelles,53,55,55,54,53,,,
SLE,Sierra Leone,2480,1760,1360,1180,1120,,,
SGP,Singapore,13,13,10,9,8,,,
SVK,Slovakia,8,7,6,6,5,,,
SVN,Slovenia,12,10,8,7,7,,,
SLB,Solomon Islands,245,188,141,112,104,,,
SOM,Somalia,1210,1040,985,855,829,,,
ZAF,South Africa,160,201,171,125,119,,,
SSD,South Sudan,1730,1480,1100,1110,1150,,,
ESP,Spain,5,5,4,4,4,,,
LKA,Sri Lanka,56,45,38,36,36,,,
PSE,State of Palestine,70,59,45,32,27,,,
SDN,Sudan,667,529,408,320,295,,,
SUR,Suriname,221,164,148,122,120,,,
SWZ,Eswatini,521,532,450,435,437,,,
SWE,Sweden,5,5,4,4,4,,,
CHE,Switzerland,7,7,6,5,5,,,
SYR,Syrian Arab Republic,26,25,27,30,31,,,
TJK,Tajikistan,53,32,23,18,17,,,
THA,Thailand,43,43,42,38,37,,,
MKD,North Macedonia,13,10,8,8,7,,,
TLS,Timor-Leste,745,415,219,160,142,,,
TGO,Togo,489,492,440,398,396,,,
TON,Tonga,77,66,57,54,52,,,
TTO,Trinidad and Tobago,81,76,71,68,67,,,
TUN,Tunisia,66,51,46,46,43,,,
TUR,Turkey,42,33,24,19,17,,,
TKM,Turkmenistan,29,18,10,8,7,,,
UGA,Uganda,578,491,430,387,375,,,
UKR,Ukraine,35,33,25,21,19,,,
ARE,United Arab Emirates,6,5,4,3,3,,,
GBR,United Kingdom,10,11,10,8,7,,,
TZA,United Republic of Tanzania,854,721,644,556,524,,,
USA,United States,12,13,15,18,19,,,
URY,Uruguay,26,22,17,18,17,,,
UZB,Uzbekistan,41,38,31,30,29,,,
